"id","location"
124,"SLC-N, Tanegashima Space Center, Japan"
125,"K-407 Submarine, Barents Sea Launch Area, Barents Sea"
126,"Jiuquan Satellite Launch Center, China"
127,"SLC-40, Cape Canaveral AFS, Florida, USA"
128,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA"
129,"LA-3, Wallops Flight Facility, Virginia, USA"
130,"Site 90/19, Baikonur Cosmodrome, Kazakhstan"
131,"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China"
132,"Site 132/1, Plesetsk Cosmodrome, Russia"
133,"ELD, Guiana Space Centre, French Guiana, France"
134,"Site 32/2, Plesetsk Cosmodrome, Russia"
135,"Stargazer, Cape Canaveral AFS, Florida, USA"
136,"LC-16, Taiyuan Satellite Launch Center, China"
137,"LC-39A, Kennedy Space Center, Florida, USA"
